Symbol,Name,IPOyear,Sector,industry
TFSC,1347 Capital Corp.,2014,Finance,Business Services
TFSCR,1347 Capital Corp.,2014,Finance,Business Services
TFSCU,1347 Capital Corp.,2014,Finance,Business Services
TFSCW,1347 Capital Corp.,2014,Finance,Business Services
PIH,1347 Property Insurance Holdings Inc.,2014,Finance,Property-Casualty Insurers
FLWS,1-800 FLOWERS.COM Inc.,1999,Consumer Services,Other Specialty Stores
FCTY,1st Century Bancshares Inc,0,Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ),0,Finance,Savings Institutions
SRCE,1st Source Corporation,0,Finance,Major Banks
VNET,21Vianet Group Inc.,2011,Technology,Computer Software: Programming Data Processing
TWOU,2U Inc.,2014,Technology,Computer Software: Prepackaged Software
DGLD,3X Inverse Gold ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
DSLV,3X Inverse Silver ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
UGLD,3X Long Gold ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
USLV,3X Long Silver ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
JOBS,51job Inc.,2004,Technology,Diversified Commercial Services
SIXD,6D Global Technologies Inc.,0,Consumer Services,Professional Services
CAFD,8point3 Energy Partners LP,2015,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,0,Public Utilities,Telecommunications Equipment
AVHI,A V Homes Inc.,0,Capital Goods,Homebuilding
SHLM,A. Schulman Inc.,1972,Basic Industries,Major Chemicals
AAON,AAON Inc.,0,Capital Goods,Industrial Machinery/Components
ABAX,ABAXIS Inc.,1992,Capital Goods,Industrial Machinery/Components
ABY,Abengoa Yield plc,2014,Public Utilities,Electric Utilities: Central
ABGB,Abengoa S.A.,2013,Consumer Services,Military/Government/Technical
ABEO,Abeona Therapeutics Inc.,0,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,0,Health Care,Major Pharmaceuticals
ABMD,ABIOMED Inc.,0,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,0,Energy,Oil & Gas Production
ACTG,Acacia Research Corporation,0,Miscellaneous,Multi-Sector Companies
ACHC,Acadia Healthcare Company Inc.,0,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,1985,Health Care,Major Pharmaceuticals
ACST,Acasti Pharma Inc.,0,Health Care,Major Pharmaceuticals
AXDX,Accelerate Diagnostics Inc.,0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,0,Finance,Savings Institutions
ARAY,Accuray Incorporated,2007,Health Care,Medical/Dental Instruments
VXDN,AccuShares Spot CBOE VIX Down Shares,0,n/a,n/a
VXUP,AccuShares Spot CBOE VIX Up Shares,0,n/a,n/a
ACRX,AcelRx Pharmaceuticals Inc.,2011,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,0,Health Care,Other Pharmaceuticals
AKAO,Achaogen Inc.,2014,Health Care,Major Pharmaceuticals
ACHN,Achillion Pharmaceuticals Inc.,2006,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc.,0,Technology,Computer Software: Prepackaged Software
ACNB,ACNB Corporation,0,Finance,Major Banks
ACOR,Acorda Therapeutics Inc.,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACTS,Actions Semiconductor Co. Ltd.,2005,Technology,Semiconductors
ACPW,Active Power Inc.,2000,Public Utilities,Electric Utilities: Central
ATVI,Activision Blizzard Inc,0,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,0,Technology,EDP Services
ACUR,Acura Pharmaceuticals Inc.,0,Health Care,Major Pharmaceuticals
ACXM,Acxiom Corporation,0,Technology,EDP Services
ADMS,Adamas Pharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,0,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,2009,Health Care,Medical/Nursing Services
AEY,ADDvantage Technologies Group Inc.,0,Consumer Services,Office Equipment/Supplies/Services
ADEP,Adept Technology Inc.,0,Technology,Industrial Machinery/Components
ADMA,ADMA Biologics Inc,0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,1986,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Inc.,1994,Public Utilities,Telecommunications Equipment
ADRO,Aduro Biotech Inc.,2015,Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,0,n/a,n/a
AEIS,Advanced Energy Industries Inc.,1995,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc.,0,Technology,Semiconductors
ADXS,Advaxis Inc.,0,Health Care,Major Pharmaceuticals
ADXSW,Advaxis Inc.,0,Health Care,Major Pharmaceuticals
MULT,AdvisorShares Sunrise Global Multi-Strategy ETF,0,n/a,n/a
YPRO,AdvisorShares YieldPro ETF,0,n/a,n/a
AEGR,Aegerion Pharmaceuticals Inc.,2010,Health Care,Major Pharmaceuticals
AEGN,Aegion Corp,0,Basic Industries,Water Supply
AEHR,Aehr Test Systems,1997,Capital Goods,Electrical Products
AMTX,Aemetis Inc,0,Basic Industries,Major Chemicals
AEPI,AEP Industries Inc.,1986,Capital Goods,Specialty Chemicals
AERI,Aerie Pharmaceuticals Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,AeroVironment Inc.,2007,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,0,Health Care,Major Pharmaceuticals
AEMD,Aethlon Medical Inc.,0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AFMD,Affimed N.V.,2014,Health Care,Major Pharmaceuticals
AFFX,Affymetrix Inc.,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGEN,Agenus Inc.,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,Agile Therapeutics Inc.,2014,Health Care,Major Pharmaceuticals
AGYS,Agilysys Inc.,0,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc.,2013,Health Care,Major Pharmaceuticals
AGFS,AgroFresh Solutions Inc.,2014,Finance,Business Services
AGFSW,AgroFresh Solutions Inc.,2014,Finance,Business Services
AIMT,Aimmune Therapeutics Inc.,2015,Health Care,Major Pharmaceuticals
AIRM,Air Methods Corporation,0,Transportation,Transportation Services
AIRT,Air T Inc.,0,Transportation,Air Freight/Delivery Services
ATSG,Air Transport Services Group Inc,0,Transportation,Air Freight/Delivery Services
AMCN,AirMedia Group Inc,2007,Technology,Advertising
AIXG,Aixtron SE,0,Technology,Industrial Machinery/Components
AKAM,Akamai Technologies Inc.,1999,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc.,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,Akorn Inc.,0,Health Care,Major Pharmaceuticals
ALRM,Alarm.com Holdings Inc.,2015,Technology,Computer Software: Prepackaged Software
ALSK,Alaska Communications Systems Group Inc.,1999,Public Utilities,Telecommunications Equipment
AMRI,Albany Molecular Research Inc.,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABDC,Alcentra Capital Corp.,0,n/a,n/a
ADHD,Alcobra Ltd.,2013,Health Care,Major Pharmaceuticals
ALDR,Alder BioPharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals
ALDX,Aldeyra Therapeutics Inc.,2014,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals Inc.,1996,Health Care,Major Pharmaceuticals
ALXA,Alexza Pharmaceuticals Inc.,2006,Health Care,Major Pharmaceuticals
ALCO,Alico Inc.,0,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,Align Technology Inc.,2001,Health Care,Industrial Specialties
ALIM,Alimera Sciences Inc.,2010,Health Care,Major Pharmaceuticals
ALKS,Alkermes plc,1991,Health Care,Major Pharmaceuticals
ALGT,Allegiant Travel Company,2006,Transportation,Air Freight/Delivery Services
ALLB,Alliance Bancorp Inc. of Pennsylvania,0,Finance,Savings Institutions
AFOP,Alliance Fiber Optic Products Inc.,2000,Technology,Semiconductors
AIQ,Alliance HealthCare Services Inc.,2001,Health Care,Medical Specialities
AHGP,Alliance Holdings GP L.P.,2006,Energy,Coal Mining
ARLP,Alliance Resource Partners L.P.,1999,Energy,Coal Mining
AHPI,Allied Healthcare Products Inc.,1992,Health Care,Industrial Specialties
AMOT,Allied Motion Technologies Inc.,0,Capital Goods,Electrical Products
ALQA,Alliqua BioMedical Inc.,0,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,2006,Technology,Computer Communications Equipment
MDRX,Allscripts Healthcare Solutions Inc.,0,Technology,EDP Services
AFAM,Almost Family Inc,0,Health Care,Medical/Nursing Services
ALNY,Alnylam Pharmaceuticals Inc.,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,2010,Technology,Semiconductors
SMCP,AlphaMark Actively Managed Small Cap ETF,0,n/a,n/a
ATEC,Alphatec Holdings Inc.,2006,Health Care,Medical/Dental Instruments
ALTR,Altera Corporation,1988,Technology,Semiconductors
ASPS,Altisource Portfolio Solutions S.A.,0,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,2006,Capital Goods,Industrial Machinery/Components
AMAG,AMAG Pharmaceuticals Inc.,0,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation PLC,0,Health Care,Major Pharmaceuticals
AMRK,A-Mark Precious Metals Inc.,0,Basic Industries,Other Specialty Stores
AYA,Amaya Inc.,0,Technology,Computer Software: Programming Data Processing
AMZN,Amazon.com Inc.,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,Ambac Financial Group Inc.,0,Finance,Property-Casualty Insurers
AMBCW,Ambac Financial Group Inc.,0,Finance,Property-Casualty Insurers
AMBA,Ambarella Inc.,2012,Technology,Semiconductors
EPAX,Ambassadors Group Inc.,0,Consumer Services,Other Consumer Services
AMCX,AMC Networks Inc.,0,Consumer Services,Television Services
DOX,Amdocs Limited,0,Technology,EDP Services
AMDA,Amedica Corporation,2014,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,0,Health Care,Medical/Nursing Services
UHAL,Amerco,0,Consumer Services,Rental/Leasing Companies
ASBI,Ameriana Bancorp,0,Finance,Savings Institutions
ATAX,America First Multifamily Investors L.P.,0,Finance,Finance: Consumer Services
AMOV,America Movil S.A.B. de C.V.,0,Public Utilities,Telecommunications Equipment
AAL,American Airlines Group Inc.,0,Transportation,Air Freight/Delivery Services
AGNC,American Capital Agency Corp.,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,American Capital Agency Corp.,0,Consumer Services,Real Estate Investment Trusts
AGNCP,American Capital Agency Corp.,0,Consumer Services,Real Estate Investment Trusts
MTGE,American Capital Mortgage Investment Corp.,2011,Consumer Services,Real Estate Investment Trusts
MTGEP,American Capital Mortgage Investment Corp.,0,Consumer Services,Real Estate Investment Trusts
ACSF,American Capital Senior Floating Ltd.,2014,n/a,n/a
ACAS,American Capital Ltd.,1997,n/a,n/a
ANCI,American Caresource Holdings Inc,0,Health Care,Hospital/Nursing Management
AETI,American Electric Technologies Inc.,0,Energy,Industrial Machinery/Components
AMIC,American Independence Corp.,0,Finance,Accident &Health Insurance
AMNB,American National Bankshares Inc.,0,Finance,Major Banks
ANAT,American National Insurance Company,0,Finance,Life Insurance
APEI,American Public Education Inc.,2007,Consumer Services,Other Consumer Services
ARII,American Railcar Industries Inc.,2006,Capital Goods,Railroads
AMRB,American River Bankshares,0,Finance,Major Banks
ASEI,American Science and Engineering Inc.,0,Health Care,Medical Electronics
AMSWA,American Software Inc.,0,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,1986,Basic Industries,Forest Products
CRMT,America&#39;s Car-Mart Inc.,0,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,1994,Finance,Major Banks
AMSF,AMERISAFE Inc.,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,0,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,0,Finance,Major Banks
ATLO,Ames National Corporation,0,Finance,Major Banks
